Variant SKU	Handle	Title	Intro	Color	Material	Finish	W	D	H	Features
22063-T	prime-glensboro-mattress	n/a	The Kingsdown Prime Collection delivers the latest comfort innovations at an exceptional value. From its cooling gel fibers to its multilevel coil system with targeted lumbar support, each premium mattress provides the pressure relief and personalized support that your body needs for deeper, more restful sleep.	white	gel foam	n/a	38	75	n/a	n/a
22067-K	prime-rossburn-mattress	n/a	The Kingsdown Prime Collection delivers the latest comfort innovations at an exceptional value. From its cooling gel fibers to its multilevel coil system with targeted lumbar support, each premium mattress provides the pressure relief and personalized support that your body needs for deeper, more restful sleep.	white	gel foam	n/a	76	80	n/a	n/a
22067-Q	prime-rossburn-mattress	n/a	The Kingsdown Prime Collection delivers the latest comfort innovations at an exceptional value. From its cooling gel fibers to its multilevel coil system with targeted lumbar support, each premium mattress provides the pressure relief and personalized support that your body needs for deeper, more restful sleep.	white	gel foam	n/a	60	80	n/a	n/a
22067-F	prime-rossburn-mattress	n/a	The Kingsdown Prime Collection delivers the latest comfort innovations at an exceptional value. From its cooling gel fibers to its multilevel coil system with targeted lumbar support, each premium mattress provides the pressure relief and personalized support that your body needs for deeper, more restful sleep.	white	gel foam	n/a	53	75	n/a	n/a
22067-T	prime-rossburn-mattress	n/a	The Kingsdown Prime Collection delivers the latest comfort innovations at an exceptional value. From its cooling gel fibers to its multilevel coil system with targeted lumbar support, each premium mattress provides the pressure relief and personalized support that your body needs for deeper, more restful sleep.	white	gel foam	n/a	38	75	n/a	n/a
24022-K	passions-tifton-hybrid-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	white	gel	n/a	76	80	n/a	n/a
24022-Q	passions-tifton-hybrid-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	white	gel	n/a	60	80	n/a	n/a
24022-F	passions-tifton-hybrid-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	white	gel	n/a	53	75	n/a	n/a
24022-T	passions-tifton-hybrid-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	white	gel	n/a	38	75	n/a	n/a
24025-K	passions-sunderland-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	white	gel	n/a	76	80	n/a	n/a
24025-Q	passions-sunderland-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	white	gel	n/a	60	80	n/a	n/a
24025-F	passions-sunderland-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	white	gel	n/a	53	75	n/a	n/a
24025-T	passions-sunderland-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	white	gel	n/a	38	75	n/a	n/a
5840-K	passions-fitted-sleep-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	gold	gel	n/a	76	80	n/a	n/a
5840-Q	passions-fitted-sleep-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	gold	gel	n/a	60	80	n/a	n/a
5840-F	passions-fitted-sleep-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	gold	gel	n/a	53	75	n/a	n/a
5840-T	passions-fitted-sleep-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	gold	gel	n/a	38	75	n/a	n/a
5841-K	passions-fitted-sleep-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	gold,green	gel	n/a	76	80	n/a	n/a
5841-Q	passions-fitted-sleep-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	gold,green	gel	n/a	60	80	n/a	n/a
5841-F	passions-fitted-sleep-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	gold,green	gel	n/a	53	75	n/a	n/a
5841-T	passions-fitted-sleep-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	gold,green	gel	n/a	38	75	n/a	n/a
5842-K	passions-fitted-sleep-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	Gold with Blue	gel	n/a	76	80	n/a	n/a
5842-Q	passions-fitted-sleep-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	Gold with Blue	gel	n/a	60	80	n/a	n/a
5842-F	passions-fitted-sleep-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	Gold with Blue	gel	n/a	53	75	n/a	n/a
5842-T	passions-fitted-sleep-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	Gold with Blue	gel	n/a	38	75	n/a	n/a
5843-K	passions-fitted-sleep-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	Gold with Red	gel	n/a	76	80	n/a	n/a
5843-Q	passions-fitted-sleep-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	Gold with Red	gel	n/a	60	80	n/a	n/a
5843-F	passions-fitted-sleep-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	Gold with Red	gel	n/a	53	75	n/a	n/a
5843-T	passions-fitted-sleep-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	Gold with Red	gel	n/a	38	75	n/a	n/a
5844-K	passions-fitted-sleep-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	Green	gel	n/a	76	80	n/a	n/a
5844-Q	passions-fitted-sleep-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	Green	gel	n/a	60	80	n/a	n/a
5844-F	passions-fitted-sleep-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	Green	gel	n/a	53	75	n/a	n/a
5844-T	passions-fitted-sleep-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	Green	gel	n/a	38	75	n/a	n/a
5845-K	passions-fitted-sleep-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	Green with Blue	gel	n/a	76	80	n/a	n/a
5845-Q	passions-fitted-sleep-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	Green with Blue	gel	n/a	60	80	n/a	n/a
5845-F	passions-fitted-sleep-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	Green with Blue	gel	n/a	53	75	n/a	n/a
5845-T	passions-fitted-sleep-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	Green with Blue	gel	n/a	38	75	n/a	n/a
5846-K	passions-fitted-sleep-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	Green with Red	gel	n/a	76	80	n/a	n/a
5846-Q	passions-fitted-sleep-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	Green with Red	gel	n/a	60	80	n/a	n/a
5846-F	passions-fitted-sleep-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	Green with Red	gel	n/a	53	75	n/a	n/a
5846-T	passions-fitted-sleep-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	Green with Red	gel	n/a	38	75	n/a	n/a
5847-K	passions-fitted-sleep-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	Blue	gel	n/a	76	80	n/a	n/a
5847-Q	passions-fitted-sleep-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	Blue	gel	n/a	60	80	n/a	n/a
5847-F	passions-fitted-sleep-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	Blue	gel	n/a	53	75	n/a	n/a
5847-T	passions-fitted-sleep-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	Blue	gel	n/a	38	75	n/a	n/a
5848-K	passions-fitted-sleep-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	Blue with Red	gel	n/a	76	80	n/a	n/a
5848-Q	passions-fitted-sleep-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	Blue with Red	gel	n/a	60	80	n/a	n/a
5848-F	passions-fitted-sleep-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	Blue with Red	gel	n/a	53	75	n/a	n/a
5848-T	passions-fitted-sleep-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	Blue with Red	gel	n/a	38	75	n/a	n/a
5849-K	passions-fitted-sleep-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	Red	gel	n/a	76	80	n/a	n/a
5849-Q	passions-fitted-sleep-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	Red	gel	n/a	60	80	n/a	n/a
5849-F	passions-fitted-sleep-mattress	n/a	At Kingsdown, we understand passion. It describes how we feel about delivering smarter sleep for our customers. Kingsdown Passions mattress collection is the realization of that passion in a gel sleep collection that makes smarter sleep available for everyone. From the gel-infused performance fabric and cushioning layer to the superior support from our wrapped innerspring coils, Passions mattresses combine the most advanced technologies for healthy sleep.	Red	gel	n/a	53	75	n/a	n/a
